행정동,인구수_계,인구수_남,인구수_여,세대수,세대당인구,인구수_65세이상
용산구,206061 ,98564 ,107497 ,104187 ,2 ,38478 
후암동,15927 ,7647 ,8280 ,8268 ,2 ,3135 
용산2가동,8835 ,4338 ,4497 ,5017 ,2 ,2097 
남영동,6819 ,4156 ,2663 ,4848 ,1 ,1586 
청파동,18763 ,8679 ,10084 ,11195 ,2 ,3382 
원효로제1동,16989 ,7848 ,9141 ,9310 ,2 ,2103 
원효로제2동,13583 ,6382 ,7201 ,6273 ,2 ,2509 
효창동,10613 ,4988 ,5625 ,4729 ,2 ,1655 
용문동,11290 ,5346 ,5944 ,5284 ,2 ,2301 
한강로동,20883 ,9881 ,11002 ,11243 ,2 ,3295 
이촌제1동,24944 ,11710 ,13234 ,9110 ,3 ,4522 
이촌제2동,7806 ,3639 ,4167 ,3596 ,2 ,1845 
이태원제1동,6123 ,3063 ,3060 ,3460 ,2 ,1399 
이태원제2동,8730 ,4131 ,4599 ,4902 ,2 ,1911 
한남동,14546 ,6886 ,7660 ,7451 ,2 ,2671 
서빙고동,12578 ,6046 ,6532 ,5122 ,2 ,2274 
보광동,7632 ,3824 ,3808 ,4379 ,2 ,1793 
